[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 69:60:60 | IC 
[ERROR] 2022-06-17 14:00:31 | IC 
[ERROR] 2022-06-17 14:00:42 | IC 
[ERROR] 2022-06-17 14:00:47 | IC 
[ERROR] 2022-06-17 14:00:50 | IC 
[ERROR] 2022-06-17 14:00:54 | IC 
[ERROR] 2022-06-17 14:26:31 | IC 
[ERROR] 2022-06-17 14:29:16 | IC 
[ERROR] 2022-06-17 14:29:19 | IC 
[ERROR] 2022-06-17 14:29:23 | IC 
[ERROR] 2022-06-17 16:03:46 | IC 
[ERROR] 2022-06-17 16:03:52 | IC 
[ERROR] 2022-06-17 16:03:59 | IC 
[ERROR] 2022-06-17 16:04:05 | IC 
[ERROR] 2022-06-17 16:04:13 | IC 
[ERROR] 2022-06-17 16:14:36 | IC 
[ERROR] 2022-06-17 16:14:41 | IC 
[ERROR] 2022-06-17 16:14:48 | IC 
[ERROR] 2022-06-17 16:14:55 | IC 
[ERROR] 2022-06-17 16:38:37 | IC 
[ERROR] 2022-06-17 16:38:40 | IC 
[ERROR] 2022-06-17 16:38:43 | IC 
