[WARNING] 2022-06-17 69:60:60 | UU {lea_kalmar} 
[WARNING] 2022-06-17 69:60:60 | UU {lea_kalmar} 
[WARNING] 2022-06-17 14:07:38 | UU {lea_kalmar} 
[WARNING] 2022-06-17 14:17:29 | UU {lea_kalmar} 
[WARNING] 2022-06-17 14:32:31 | UU {lea_kalmar} 
[WARNING] 2022-06-17 16:05:05 | UC {lea} 
[WARNING] 2022-06-17 16:05:47 | UC {lea} 
[WARNING] 2022-06-17 16:06:45 | UC {lea} 
[WARNING] 2022-06-17 16:16:27 | UC {lea} 
[WARNING] 2022-06-17 16:26:06 | UC {lea} 
[WARNING] 2022-06-17 16:39:47 | UC {lea} 
[WARNING] 2022-06-17 16:46:08 | UC {lea} 
[WARNING] 2022-06-17 16:51:40 | UC {lea} 
